,ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
71,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
72,1,-71.0,-84.0,-74.0,-89.0,-81.0,-56.0,-73.0,-64.0,-55.0,-70.0,-71.0,-82.0,-77.0,-65.0,-56.0,-60.0,-68.0,-72.0,-70.0
72,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
73,1,-71.0,-80.0,-74.0,-73.0,-75.0,-62.0,-68.0,-53.0,-61.0,-70.0,-72.0,-82.0,-73.0,-68.0,-66.0,-69.0,-73.0,-73.0,-70.0
73,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
74,1,-58.0,-55.0,-54.0,-63.0,-62.0,-64.0,-65.0,-69.0,-66.0,-69.0,-75.0,-76.0,-46.0,-79.0,-75.0,-76.0,-81.0,-47.0,-74.0
74,1,-71.0,-80.0,-74.0,-73.0,-75.0,-62.0,-68.0,-53.0,-61.0,-70.0,-72.0,-82.0,-73.0,-68.0,-66.0,-69.0,-73.0,-73.0,-70.0
75,1,-66.0,-74.0,-74.0,-76.0,-80.0,-58.0,-75.0,-51.0,-62.0,-70.0,-72.0,-82.0,-73.0,-68.0,-58.0,-67.0,-73.0,-73.0,-72.0
75,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
76,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
76,1,-66.0,-74.0,-74.0,-76.0,-80.0,-58.0,-75.0,-51.0,-62.0,-70.0,-72.0,-82.0,-73.0,-68.0,-58.0,-67.0,-73.0,-73.0,-72.0
77,1,-59.0,-76.0,-77.0,-78.0,-79.0,-63.0,-71.0,-53.0,-55.0,-68.0,-74.0,-82.0,-77.0,-65.0,-54.0,-69.0,-73.0,-70.0,-66.0
77,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
78,1,-59.0,-76.0,-77.0,-78.0,-79.0,-63.0,-71.0,-53.0,-55.0,-68.0,-74.0,-82.0,-77.0,-65.0,-54.0,-69.0,-73.0,-70.0,-66.0
78,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
79,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
79,1,-59.0,-76.0,-77.0,-78.0,-79.0,-63.0,-71.0,-53.0,-55.0,-68.0,-74.0,-82.0,-77.0,-65.0,-54.0,-69.0,-73.0,-70.0,-66.0
80,1,-60.0,-77.0,-76.0,-77.0,-80.0,-71.0,-73.0,-52.0,-53.0,-68.0,-73.0,,-77.0,-64.0,-51.0,-70.0,-74.0,-70.0,-67.0
80,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
81,1,-60.0,-77.0,-76.0,-77.0,-80.0,-71.0,-73.0,-52.0,-53.0,-68.0,-73.0,,-77.0,-64.0,-51.0,-70.0,-74.0,-70.0,-67.0
81,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
82,1,-61.0,-78.0,-76.0,-77.0,-79.0,-69.0,-70.0,-53.0,-55.0,-67.0,-79.0,-78.0,-81.0,-62.0,-55.0,-67.0,-74.0,-67.0,-71.0
82,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
83,1,-60.0,-53.0,-58.0,-59.0,-63.0,-66.0,-72.0,-61.0,-64.0,-72.0,-73.0,-74.0,-71.0,-67.0,-75.0,-75.0,-75.0,-74.0,-80.0
83,1,-61.0,-78.0,-76.0,-77.0,-79.0,-69.0,-70.0,-53.0,-55.0,-67.0,-79.0,-78.0,-81.0,-62.0,-55.0,-67.0,-74.0,-67.0,-71.0
84,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
84,1,-74.0,-78.0,-81.0,-72.0,-80.0,-66.0,-70.0,-54.0,-62.0,-67.0,-79.0,-77.0,-81.0,-62.0,-73.0,-67.0,-74.0,-67.0,-71.0
85,1,-74.0,-78.0,-81.0,-72.0,-80.0,-66.0,-70.0,-54.0,-62.0,-67.0,-79.0,-77.0,-81.0,-62.0,-73.0,-67.0,-74.0,-67.0,-71.0
85,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
86,1,-67.0,-78.0,-81.0,-75.0,-78.0,-70.0,-71.0,-61.0,-65.0,-76.0,-70.0,-77.0,-79.0,-66.0,-58.0,-63.0,-74.0,-68.0,-71.0
86,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
87,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
87,1,-67.0,-78.0,-81.0,-75.0,-78.0,-70.0,-71.0,-61.0,-65.0,-76.0,-70.0,-77.0,-79.0,-66.0,-58.0,-63.0,-74.0,-68.0,-71.0
88,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
88,1,-67.0,-80.0,-80.0,-77.0,-76.0,-67.0,-88.0,-62.0,-65.0,-75.0,-70.0,-79.0,-79.0,-69.0,-56.0,-70.0,-74.0,-65.0,-65.0
89,1,-67.0,-80.0,-80.0,-77.0,-76.0,-67.0,-88.0,-62.0,-65.0,-75.0,-70.0,-79.0,-79.0,-69.0,-56.0,-70.0,-74.0,-65.0,-65.0
89,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
90,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
90,1,-65.0,-78.0,-79.0,-77.0,-79.0,-70.0,-70.0,-55.0,-64.0,-82.0,-71.0,-79.0,-79.0,-69.0,-55.0,-64.0,-74.0,-65.0,-65.0
91,1,-59.0,-54.0,-54.0,-61.0,-63.0,-59.0,-64.0,-65.0,-64.0,-76.0,-72.0,-74.0,-72.0,-69.0,-82.0,-71.0,-75.0,-74.0,-73.0
91,1,-65.0,-78.0,-79.0,-77.0,-79.0,-70.0,-70.0,-55.0,-64.0,-82.0,-71.0,-79.0,-79.0,-69.0,-55.0,-64.0,-74.0,-65.0,-65.0
92,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
92,1,-65.0,-78.0,-79.0,-77.0,-79.0,-70.0,-70.0,-55.0,-64.0,-82.0,-71.0,-79.0,-79.0,-69.0,-55.0,-64.0,-74.0,-65.0,-65.0
93,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
93,1,-68.0,-78.0,-79.0,-71.0,-79.0,-70.0,-70.0,-57.0,-62.0,-74.0,,-79.0,,-69.0,-52.0,,-74.0,-65.0,-65.0
94,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
94,1,-64.0,-72.0,-72.0,-74.0,-81.0,-59.0,-76.0,-59.0,-57.0,-73.0,-75.0,-79.0,-77.0,-69.0,-54.0,-68.0,-72.0,-77.0,-65.0
95,1,-64.0,-72.0,-72.0,-74.0,-81.0,-59.0,-76.0,-59.0,-57.0,-73.0,-75.0,-79.0,-77.0,-69.0,-54.0,-68.0,-72.0,-77.0,-65.0
95,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
96,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
96,1,,-71.0,-72.0,-68.0,-75.0,,,-61.0,-55.0,-73.0,-75.0,-79.0,-77.0,,-61.0,-73.0,-72.0,-77.0,-73.0
97,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
97,1,,-71.0,-72.0,-68.0,-75.0,,,-61.0,-55.0,-73.0,-75.0,-79.0,-77.0,,-61.0,-73.0,-72.0,-77.0,-73.0
98,1,-66.0,-73.0,-75.0,-72.0,-72.0,-68.0,-74.0,-60.0,-55.0,-65.0,-75.0,-79.0,-79.0,-72.0,-55.0,-70.0,-77.0,-73.0,-70.0
98,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
99,1,-58.0,-54.0,-52.0,-63.0,-71.0,-63.0,-64.0,-63.0,-71.0,,-64.0,-71.0,-69.0,-68.0,-72.0,-73.0,-80.0,-76.0,-77.0
99,1,-66.0,-73.0,-75.0,-72.0,-72.0,-68.0,-74.0,-60.0,-55.0,-65.0,-75.0,-79.0,-79.0,-72.0,-55.0,-70.0,-77.0,-73.0,-70.0
100,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
100,1,-66.0,-73.0,-78.0,-78.0,-76.0,-67.0,-76.0,-68.0,-55.0,-76.0,-75.0,-78.0,-79.0,-72.0,-55.0,-71.0,-72.0,-65.0,-76.0
101,1,-66.0,-73.0,-78.0,-78.0,-76.0,-67.0,-76.0,-68.0,-55.0,-76.0,-75.0,-78.0,-79.0,-72.0,-55.0,-71.0,-72.0,-65.0,-76.0
101,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
102,1,-66.0,-73.0,-78.0,-78.0,-76.0,-67.0,-76.0,-68.0,-55.0,-76.0,-75.0,-78.0,-79.0,-72.0,-55.0,-71.0,-72.0,-65.0,-76.0
102,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
103,1,-68.0,-73.0,-78.0,-75.0,-79.0,-68.0,-76.0,-57.0,-56.0,-69.0,-76.0,-81.0,-79.0,-68.0,-54.0,-63.0,-72.0,-65.0,-75.0
103,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
104,1,-68.0,-73.0,-78.0,-75.0,-79.0,-68.0,-76.0,-57.0,-56.0,-69.0,-76.0,-81.0,-79.0,-68.0,-54.0,-63.0,-72.0,-65.0,-75.0
104,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
105,1,-67.0,-73.0,-78.0,-75.0,-79.0,-67.0,-74.0,-62.0,-55.0,-65.0,-80.0,-81.0,-79.0,-68.0,-52.0,-62.0,-74.0,-65.0,-75.0
105,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
106,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
106,1,-67.0,-73.0,-78.0,-75.0,-79.0,-67.0,-74.0,-62.0,-55.0,-65.0,-80.0,-81.0,-79.0,-68.0,-52.0,-62.0,-74.0,-65.0,-75.0
107,1,-66.0,-74.0,-76.0,-76.0,-80.0,-64.0,-74.0,-62.0,-53.0,-68.0,-75.0,-81.0,-80.0,-68.0,-54.0,-63.0,-73.0,-69.0,-73.0
107,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
108,1,-66.0,-74.0,-76.0,-76.0,-80.0,-64.0,-74.0,-62.0,-53.0,-68.0,-75.0,-81.0,-80.0,-68.0,-54.0,-63.0,-73.0,-69.0,-73.0
108,1,-53.0,-53.0,-57.0,-71.0,-71.0,-65.0,-68.0,-74.0,-69.0,-73.0,-69.0,-65.0,-74.0,-75.0,-75.0,-68.0,-78.0,-76.0,-79.0
109,1,-71.0,-77.0,-79.0,-76.0,-78.0,-55.0,-72.0,-61.0,-55.0,-54.0,-70.0,-81.0,-74.0,-64.0,-59.0,-66.0,-73.0,-69.0,-70.0
109,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
110,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
110,1,-71.0,-77.0,-79.0,-76.0,-78.0,-55.0,-72.0,-61.0,-55.0,-54.0,-70.0,-81.0,-74.0,-64.0,-59.0,-66.0,-73.0,-69.0,-70.0
111,1,-67.0,-77.0,-79.0,-73.0,-76.0,-55.0,-66.0,-58.0,-60.0,-74.0,-69.0,-78.0,-73.0,-68.0,-64.0,-69.0,-71.0,-75.0,-70.0
111,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
112,1,-67.0,-77.0,-81.0,-75.0,-80.0,-63.0,-71.0,-81.0,-68.0,-77.0,-69.0,-73.0,-75.0,-67.0,-58.0,-68.0,-70.0,-66.0,-70.0
112,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
113,1,-67.0,-77.0,-81.0,-75.0,-80.0,-63.0,-71.0,-81.0,-68.0,-77.0,-69.0,-73.0,-75.0,-67.0,-58.0,-68.0,-70.0,-66.0,-70.0
113,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
114,1,-67.0,-77.0,-81.0,-75.0,-80.0,-63.0,-71.0,-81.0,-68.0,-77.0,-69.0,-73.0,-75.0,-67.0,-58.0,-68.0,-70.0,-66.0,-70.0
114,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
115,1,-67.0,-77.0,-81.0,-75.0,-80.0,-63.0,-71.0,-81.0,-68.0,-77.0,-69.0,-73.0,-75.0,-67.0,-58.0,-68.0,-70.0,-66.0,-70.0
115,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
116,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
116,1,-64.0,-79.0,-83.0,-74.0,-80.0,-61.0,-74.0,-52.0,-57.0,-72.0,-68.0,-73.0,-75.0,-72.0,-53.0,-68.0,-73.0,-69.0,-70.0
117,1,-56.0,-61.0,-57.0,-63.0,-62.0,-63.0,-69.0,-62.0,-65.0,-76.0,-62.0,-76.0,-74.0,-71.0,-77.0,-77.0,-75.0,-74.0,-76.0
117,1,-64.0,-79.0,-83.0,-74.0,-80.0,-61.0,-74.0,-52.0,-57.0,-72.0,-68.0,-73.0,-75.0,-72.0,-53.0,-68.0,-73.0,-69.0,-70.0
118,1,-64.0,-79.0,-78.0,-74.0,-81.0,-62.0,-70.0,-52.0,-72.0,-78.0,-75.0,-79.0,-79.0,-67.0,-54.0,-71.0,-73.0,-69.0,-68.0
118,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
119,1,-62.0,-79.0,-78.0,-75.0,-83.0,-55.0,-74.0,-53.0,-59.0,-75.0,-77.0,-82.0,-79.0,-66.0,-56.0,-60.0,-72.0,-83.0,-70.0
119,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
120,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
120,1,-62.0,-79.0,-78.0,-75.0,-83.0,-55.0,-74.0,-53.0,-59.0,-75.0,-77.0,-82.0,-79.0,-66.0,-56.0,-60.0,-72.0,-83.0,-70.0
121,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
121,1,-62.0,-79.0,-78.0,-75.0,-83.0,-55.0,-74.0,-53.0,-59.0,-75.0,-77.0,-82.0,-79.0,-66.0,-56.0,-60.0,-72.0,-83.0,-70.0
122,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
122,1,-71.0,-78.0,-83.0,-71.0,-81.0,-63.0,-76.0,-53.0,-59.0,-62.0,-75.0,-75.0,-79.0,-68.0,-55.0,-60.0,-72.0,-72.0,-75.0
123,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
123,1,-71.0,-78.0,-83.0,-71.0,-81.0,-63.0,-76.0,-53.0,-59.0,-62.0,-75.0,-75.0,-79.0,-68.0,-55.0,-60.0,-72.0,-72.0,-75.0
124,1,-68.0,-78.0,-83.0,-75.0,-76.0,-67.0,-70.0,-61.0,-67.0,-62.0,-69.0,-75.0,-79.0,-63.0,-89.0,-60.0,-72.0,-72.0,-64.0
124,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
125,1,,-60.0,-85.0,-63.0,-65.0,-63.0,-70.0,-60.0,-59.0,,-74.0,-59.0,-75.0,-69.0,,,,-77.0,
125,2,-63.0,-80.0,-83.0,-77.0,-78.0,-67.0,-73.0,-62.0,-72.0,-62.0,-69.0,-75.0,-80.0,-68.0,-55.0,-68.0,-77.0,-69.0,-64.0
126,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
126,2,-85.0,-71.0,-83.0,-71.0,-76.0,-58.0,-76.0,-62.0,-41.0,-70.0,-75.0,-75.0,-85.0,-64.0,-54.0,-61.0,-85.0,-67.0,-70.0
127,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
127,2,-85.0,-71.0,-83.0,-71.0,-76.0,-58.0,-76.0,-62.0,-41.0,-70.0,-75.0,-75.0,-85.0,-64.0,-54.0,-61.0,-85.0,-67.0,-70.0
128,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
128,2,-65.0,-73.0,,-72.0,-74.0,-60.0,-76.0,-63.0,-42.0,-68.0,-78.0,-74.0,-85.0,-65.0,-55.0,-58.0,-85.0,-66.0,-71.0
129,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
129,2,-65.0,-73.0,,-72.0,-74.0,-60.0,-76.0,-63.0,-42.0,-68.0,-78.0,-74.0,-85.0,-65.0,-55.0,-58.0,-85.0,-66.0,-71.0
130,2,-67.0,-76.0,,-72.0,-75.0,-58.0,-70.0,-61.0,-43.0,-68.0,-78.0,-74.0,-71.0,-65.0,-54.0,-63.0,-72.0,-67.0,-67.0
130,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
131,2,-67.0,-76.0,,-72.0,-75.0,-58.0,-70.0,-61.0,-43.0,-68.0,-78.0,-74.0,-71.0,-65.0,-54.0,-63.0,-72.0,-67.0,-67.0
131,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
132,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
132,2,-67.0,-76.0,,-72.0,-75.0,-58.0,-70.0,-61.0,-43.0,-68.0,-78.0,-74.0,-71.0,-65.0,-54.0,-63.0,-72.0,-67.0,-67.0
133,2,-58.0,-54.0,-55.0,-60.0,-68.0,-64.0,-65.0,-70.0,-69.0,,,,-75.0,-65.0,,,-68.0,-76.0,-75.0
133,2,-62.0,-76.0,,-73.0,-75.0,-56.0,-70.0,-61.0,-42.0,-68.0,-76.0,-73.0,-71.0,-63.0,-55.0,-64.0,-70.0,-67.0,-67.0
134,2,-62.0,-76.0,,-73.0,-75.0,-56.0,-70.0,-61.0,-42.0,-68.0,-76.0,-73.0,-71.0,-63.0,-55.0,-64.0,-70.0,-67.0,-67.0
134,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
135,2,-62.0,-76.0,-76.0,-73.0,-73.0,-62.0,-70.0,-61.0,-45.0,-68.0,-76.0,-73.0,-71.0,-63.0,-55.0,-64.0,-70.0,-67.0,-67.0
135,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
136,2,-62.0,-76.0,-76.0,-73.0,-73.0,-62.0,-70.0,-61.0,-45.0,-68.0,-76.0,-73.0,-71.0,-63.0,-55.0,-64.0,-70.0,-67.0,-67.0
136,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
137,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
137,2,-64.0,-72.0,-75.0,-75.0,-73.0,-57.0,-70.0,-63.0,-41.0,-68.0,-76.0,-72.0,-71.0,-58.0,-55.0,-62.0,-70.0,-64.0,-72.0
138,2,-64.0,-72.0,-75.0,-75.0,-73.0,-57.0,-70.0,-63.0,-41.0,-68.0,-76.0,-72.0,-71.0,-58.0,-55.0,-62.0,-70.0,-64.0,-72.0
138,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
139,2,-86.0,-88.0,-75.0,-72.0,-74.0,-59.0,-73.0,-62.0,-85.0,-65.0,-79.0,-70.0,-69.0,-68.0,-54.0,-62.0,-71.0,-66.0,-72.0
139,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
140,2,-86.0,-88.0,-75.0,-72.0,-74.0,-59.0,-73.0,-62.0,-85.0,-65.0,-79.0,-70.0,-69.0,-68.0,-54.0,-62.0,-71.0,-66.0,-72.0
140,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
141,2,-68.0,-43.0,-53.0,-62.0,-63.0,-63.0,-62.0,-63.0,-68.0,-73.0,-73.0,-56.0,-69.0,-69.0,-69.0,-69.0,-75.0,-71.0,-68.0
141,2,-63.0,-73.0,-76.0,-70.0,-74.0,-59.0,-74.0,-64.0,-42.0,-68.0,-76.0,-70.0,-71.0,-67.0,-53.0,-60.0,-71.0,-66.0,-71.0
142,2,-56.0,-42.0,-52.0,-59.0,-67.0,-63.0,-65.0,-66.0,-74.0,-70.0,-68.0,-61.0,-68.0,-67.0,-68.0,-66.0,,-68.0,-70.0
142,2,-63.0,-73.0,-76.0,-70.0,-74.0,-59.0,-74.0,-64.0,-42.0,-68.0,-76.0,-70.0,-71.0,-67.0,-53.0,-60.0,-71.0,-66.0,-71.0
143,2,-70.0,-72.0,-76.0,-71.0,-74.0,-59.0,-75.0,-65.0,-40.0,-68.0,-75.0,-70.0,-70.0,-67.0,-54.0,-58.0,-71.0,-68.0,-71.0
143,2,-56.0,-42.0,-52.0,-59.0,-67.0,-63.0,-65.0,-66.0,-74.0,-70.0,-68.0,-61.0,-68.0,-67.0,-68.0,-66.0,,-68.0,-70.0
